Path object_type object_name object_size parant_directory
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__pycache__" File __init__.cpython-310.pyc 378 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\cachecontrol\__pycache__" File __init__.cpython-310.pyc 659 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\certifi" Directory __pycache__ 2733 certifi
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\certifi\__pycache__" File __main__.cpython-310.pyc 471 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\chardet" Directory __pycache__ 726906 chardet
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\chardet\cli" Directory __pycache__ 3266 cli
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\chardet\cli\__pycache__" File __init__.cpython-310.pyc 212 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\chardet\metadata" Directory __pycache__ 8417 metadata
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\chardet\metadata\__pycache__" File __init__.cpython-310.pyc 217 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\chardet\__pycache__" File __init__.cpython-310.pyc 3189 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\colorama" Directory __pycache__ 23999 colorama
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\colorama\tests" Directory __pycache__ 28584 tests
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\colorama\tests\__pycache__" File __init__.cpython-310.pyc 215 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\colorama\__pycache__" File __init__.cpython-310.pyc 495 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\distlib" Directory __pycache__ 296084 distlib
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\distlib\__pycache__" File __init__.cpython-310.pyc 1079 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\distro" Directory __pycache__ 43298 distro
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\distro\__pycache__" File __main__.cpython-310.pyc 286 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\idna" Directory __pycache__ 207200 idna
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\idna\__pycache__" File __init__.cpython-310.pyc 864 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\msgpack" Directory __pycache__ 35120 msgpack
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\msgpack\__pycache__" File __init__.cpython-310.pyc 1462 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\packaging" Directory __pycache__ 79319 packaging
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\packaging\__pycache__" File __init__.cpython-310.pyc 463 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pkg_resources" Directory __pycache__ 100570 pkg_resources
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pkg_resources\__pycache__" File __init__.cpython-310.pyc 99893 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\platformdirs" Directory __pycache__ 38367 platformdirs
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\platformdirs\__pycache__" File __main__.cpython-310.pyc 1253 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments" Directory __pycache__ 115699 pygments
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments\filters" Directory __pycache__ 29625 filters
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments\filters\__pycache__" File __init__.cpython-310.pyc 29625 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments\formatters" Directory __pycache__ 111721 formatters
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments\formatters\__pycache__" File __init__.cpython-310.pyc 4387 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments\lexers" Directory __pycache__ 97832 lexers
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments\lexers\__pycache__" File __init__.cpython-310.pyc 9073 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments\styles" Directory __pycache__ 3388 styles
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments\styles\__pycache__" File __init__.cpython-310.pyc 3388 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pygments\__pycache__" File __main__.cpython-310.pyc 605 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pyparsing" Directory __pycache__ 300983 pyparsing
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pyparsing\diagram" Directory __pycache__ 16598 diagram
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pyparsing\diagram\__pycache__" File __init__.cpython-310.pyc 16598 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pyparsing\__pycache__" File __init__.cpython-310.pyc 7146 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pyproject_hooks" Directory __pycache__ 12363 pyproject_hooks
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process" Directory __pycache__ 10564 _in_process
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\__pycache__" File __init__.cpython-310.pyc 841 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__pycache__" File __init__.cpython-310.pyc 603 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\requests" File __version__.py 435 requests
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\requests\__pycache__" File __version__.cpython-310.pyc 567 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\resolvelib" Directory __pycache__ 32218 resolvelib
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\resolvelib\compat" Directory __pycache__ 612 compat
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\resolvelib\compat\__pycache__" File __init__.cpython-310.pyc 218 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\resolvelib\__pycache__" File __init__.cpython-310.pyc 623 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\rich" Directory __pycache__ 1006568 rich
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\rich\__pycache__" File __main__.cpython-310.pyc 7200 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\tenacity" Directory __pycache__ 49952 tenacity
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\tenacity\__pycache__" File __init__.cpython-310.pyc 16489 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\tomli" Directory __pycache__ 20718 tomli
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\tomli\__pycache__" File __init__.cpython-310.pyc 372 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3" Directory __pycache__ 118074 urllib3
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\contrib" Directory __pycache__ 56867 contrib
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport" Directory __pycache__ 20078 _securetransport
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__pycache__" File __init__.cpython-310.pyc 233 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__pycache__" File __init__.cpython-310.pyc 216 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\packages" Directory __pycache__ 27888 packages
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports" Directory __pycache__ 1554 backports
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\__pycache__" File __init__.cpython-310.pyc 227 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\packages\__pycache__" File __init__.cpython-310.pyc 217 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\util" Directory __pycache__ 73745 util
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__" File __init__.cpython-310.pyc 1126 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\urllib3\__pycache__" File __init__.cpython-310.pyc 2526 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\webencodings" Directory __pycache__ 24643 webencodings
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\webencodings\__pycache__" File __init__.cpython-310.pyc 9763 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\__pycache__" File __init__.cpython-310.pyc 3144 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\__pycache__" File __pip-runner__.cpython-310.pyc 1646 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip-23.0.1.dist-info" File WHEEL 92 pip-23.0.1.dist-info
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources" Directory __pycache__ 100578 pkg_resources
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\extern" Directory __pycache__ 2963 extern
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\extern\__pycache__" File __init__.cpython-310.pyc 2963 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor" Directory __pycache__ 30734 _vendor
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources" Directory __pycache__ 35009 importlib_resources
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\__pycache__" File __init__.cpython-310.pyc 665 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\jaraco" Directory __pycache__ 22207 jaraco
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\text" Directory __pycache__ 19686 text
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\text\__pycache__" File __init__.cpython-310.pyc 19686 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\__pycache__" File __init__.cpython-310.pyc 217 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\more_itertools" Directory __pycache__ 143710 more_itertools
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\more_itertools\__pycache__" File __init__.cpython-310.pyc 292 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\packaging" Directory __pycache__ 79447 packaging
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\packaging\__pycache__" File __init__.cpython-310.pyc 473 __pycache__
